# Kerning | Font: Centenary-Regular | zones=9 supersample=10 smooth=40% round=1 mingap=1/2
# Basiswert LC (n+n): Ø342.6  |  Basiswert UC (O+O): Ø515.1
# Format: LinkerBuchstabe;RechterBuchstabe;Korrekturwert (LC/UC z<i>:Zonenwert,...)
# Korrektur = round(Basiswert - PaarDurchschnitt) | Negativ=enger, Positiv=weiter
.notdef;three;-131 (mixed→LC z2:446.1,z3:341.2,z4:446.1,z5:551,z6:655.9,z7:383.2,z8:488.1)
.notdef;four;-211 (mixed→LC z2:631,z3:593.3,z4:488.4,z5:383.5,z6:488.4,z7:593.3,z8:698.2)
.notdef;five;-118 (mixed→LC z2:442.4,z3:337.5,z4:442.4,z5:547.3,z6:451.8,z7:454.2,z8:551.5)
.notdef;six;-55 (mixed→LC z2:518.8,z3:413.9,z4:314.3,z5:293.3,z6:317.3,z7:408.7,z8:513.6)
.notdef;seven;-214 (mixed→LC z2:623.7,z3:611.6,z4:684.3,z5:634.7,z6:529.8,z7:424.9,z8:387.1)
.notdef;eight;-70 (mixed→LC z2:476.9,z3:372,z4:348.7,z5:453.6,z6:390.2,z7:370.8,z8:475.7)
.notdef;nine;-68 (mixed→LC z2:477.5,z3:372.6,z4:520,z5:415.1,z6:310.2,z7:336.1,z8:441)
.notdef;period;-62 (LC z2:422.7,z3:386)
.notdef;comma;-63 (LC z1:359.2,z2:464.1,z3:393.6)
.notdef;colon;-72 (LC z2:422.7,z3:386,z5:389.2,z6:461)
.notdef;semicolon;-90 (LC z1:378.2,z2:483.1,z3:412.6,z5:408.2,z6:480)
.notdef;exclam;-78 (LC z2:434.7,z3:398,z4:453,z5:441.8,z6:421.1,z7:401.9,z8:391.1)
.notdef;question;-165 (LC z2:605.7,z3:569,z4:639.2,z5:546.3,z6:441.4,z7:336.5,z8:441.4) [cap:min=336.5→171.3]
.notdef;asterisk;-85 (LC z5:486,z6:381.1,z7:369.9,z8:474.8)
.notdef;slash;-92 (LC z1:263.6,z2:315.8,z3:385.5,z4:455.8,z5:525.1,z6:594.7,z7:665,z8:734.3) [cap:min=263.6→171.3]
.notdef;hyphen;63 (LC z4:280,z5:280)
.notdef;endash;15 (LC z4:328,z5:328)
.notdef;emdash;109 (LC z4:234,z5:234)
.notdef;parenleft;-178 (LC z1:677.8,z2:572.9,z3:482.7,z4:443.3,z5:434.8,z6:450,z7:499.2,z8:604.1)
.notdef;parenright;-130 (LC z1:301.4,z2:406.3,z3:511.2,z4:551.8,z5:558.9,z6:546.2,z7:507.5,z8:412.5) [cap:min=301.4→171.3]
.notdef;quoteleft;-83 (LC z6:402.4,z7:384.5,z8:489.4)
.notdef;quoteright;-100 (LC z6:442.9,z7:485.7,z8:400.5)
.notdef;guillemotleft;-201 (LC z3:595.5,z4:490.6,z5:439.6,z6:544.5,z7:649.4)
